# ----------------------------------------
# Demographic details: Country
# Account: Default Account for Firebase
# Property: new-worldgame
# ----------------------------------------
# 
# All Users
# Start date: 20250907
# End date: 20251004
Country,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
United States,29063,34377,17715,0.5155554262099473,0.6095379004232185,14.416853043388501,327017,0,0,0
Ireland,34,40,18,0.42857142857142855,0.5294117647058824,15.705882352941176,334,0,0,0
Netherlands,33,35,23,0.5897435897435898,0.696969696969697,35.03030303030303,372,0,0,0
Canada,30,30,27,0.574468085106383,0.9,15.5,258,0,0,0
Germany,15,20,6,0.375,0.4,1.8,84,0,0,0
United Kingdom,14,21,11,0.7333333333333333,0.7857142857142857,44.92857142857143,108,0,0,0
Sweden,11,12,8,0.6153846153846154,0.7272727272727273,205.8181818181818,97,0,0,0
China,10,8,0,0,0,0.3,32,0,0,0
Singapore,9,9,2,0.2,0.2222222222222222,3.3333333333333335,58,0,0,0
India,6,6,2,0.2857142857142857,0.3333333333333333,4.666666666666667,50,0,0,0
Poland,6,12,6,1,1,0,48,0,0,0
Australia,5,5,4,0.8,0.8,57.6,41,0,0,0
Switzerland,5,5,3,0.6,0.6,13.2,53,0,0,0
France,4,7,4,1,1,3,29,0,0,0
(not set),2,2,1,0.5,0.5,9.5,8,0,0,0
Mexico,2,2,1,0.25,0.5,16.5,20,0,0,0
Ukraine,2,2,1,0.5,0.5,0,9,0,0,0
Chile,1,0,1,1,1,13,8,0,0,0
Guatemala,1,1,1,1,1,110,6,0,0,0
Myanmar (Burma),1,1,0,0,0,0,4,0,0,0
Norway,1,1,1,1,1,14,13,0,0,0
South Africa,1,0,1,0.5,1,19,12,0,0,0
South Korea,1,1,0,0,0,3,5,0,0,0
Thailand,1,1,1,1,1,12,5,0,0,0
Uganda,1,1,1,1,1,54,5,0,0,0
Congo - Kinshasa,0,0,0,0,0,0,19,0,0,0
